animeID, name, genre, type, episodes, studios, source, scored, scoredBy, members
8460,Mirai Nikki OVA,"['Action', 'Shounen', 'Supernatural']",OVA,1,['Asread'],Manga,7.41,91157,166396
8464,Pants no Ana: Mambo de Ganbo!,"['Comedy', 'Ecchi', 'School']",OVA,1,[],Unknown,4.96,232,722
8465,Ichiban Ushiro no Daimaou Specials,"['Comedy', 'Ecchi', 'Fantasy', 'Magic', 'Shounen']",Special,6,['Artland'],Unknown,6.81,18647,36680
8475,Asura,"['Drama', 'Historical']",Movie,1,['Toei Animation'],Manga,7.12,11291,24813
8476,Otome Youkai Zakuro,"['Demons', 'Historical', 'Military', 'Romance', 'Seinen', 'Supernatural']",TV,13,['J.C.Staff'],Manga,7.53,37314,88158
8478,Doubutsu Kankyou Kaigi,['Kids'],TV,20,['Studio Deen'],Unknown,5.5,38,258
8479,Hetalia World Series,"['Comedy', 'Historical', 'Parody']",ONA,48,['Studio Deen'],Web manga,7.77,42288,86330
8481,"""Bungaku Shoujo"" Memoire","['Drama', 'Romance', 'School']",OVA,3,['Production I.G'],Light novel,7.4,11218,23457
8486,Kihei Senki Legacies,"['Fantasy', 'Mecha']",ONA,1,[],Unknown,4.48,234,849
8487,Onigamiden,"['Action', 'Demons', 'Supernatural']",Movie,1,['Studio Pierrot'],Original,6.58,4516,10560
8490,Digimon Adventure 3D: Digimon Grand Prix!,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids', 'Parody', 'Sports']",Movie,1,['Toei Animation'],Original,5.9,2844,6491
8491,Digimon Savers 3D: Digital World Kiki Ippatsu!,"['Action', 'Adventure', 'Fantasy', 'Kids', 'Supernatural']",Movie,1,['Toei Animation'],Original,6.18,1753,4928
8492,Kikansha Yaemon,"['Fantasy', 'Kids']",Movie,1,['Toei Animation'],Unknown,5.63,32,162
8493,Gegege no Kitarou: Kitarou no Yuurei Densha,"['Adventure', 'Super Power', 'Demons', 'Supernatural']",Movie,1,['Toei Animation'],Unknown,5.98,98,492
8494,Kikansha Yaemon: D51 no Daibouken,"['Fantasy', 'Kids']",Movie,1,['Toei Animation'],Unknown,6.03,51,217
8495,Mahoutsukai Haley no Speed Story,"['Kids', 'Magic', 'Fantasy']",Movie,1,['Nippon Animation'],Unknown,6.54,35,410
8496,Neko Neko Fantasia,['Comedy'],OVA,1,['animate Film'],Manga,6.09,214,549
8500,Haguregumo,"['Comedy', 'Historical', 'Samurai', 'Seinen']",Movie,1,"['Madhouse', 'Toei Animation']",Manga,6.21,280,1082
8501,Chibikko Kaijuu Yadamon,"['Comedy', 'Kids', 'Supernatural']",TV,26,[],Unknown,5.86,44,250
8503,Fushigi Mahou Fun Fun Pharmacy,"['Kids', 'Magic']",TV,48,['Toei Animation'],Unknown,6.89,242,1687
8507,Ikkitousen: Xtreme Xecutor Specials,"['Comedy', 'Ecchi']",Special,6,"['Arms', 'TNK']",Unknown,6.66,4183,11013
8514,Break Blade 2: Ketsubetsu no Michi,"['Action', 'Fantasy', 'Mecha', 'Military', 'Shounen']",Movie,1,"['Production I.G', 'Xebec']",Manga,7.78,34036,54228
8516,Baka to Test to Shoukanjuu Ni!,"['Comedy', 'Super Power', 'Romance', 'School']",TV,13,['Silver Link.'],Light novel,7.85,164315,272430
8518,Mai-Otome Special: Otome no Inori,"['School', 'Slice of Life']",Special,1,['Sunrise'],Original,6.44,952,2584
8520,Biriken,"['Kids', 'Comedy']",TV,32,['Shin-Ei Animation'],Unknown,5.32,41,195
8521,Biriken Nandemo Shoukai,"['Kids', 'Comedy']",TV,22,['Shin-Ei Animation'],Unknown,5.18,38,189
8522,Midoriyama Koukou Koushien-hen (Movie),"['Comedy', 'School', 'Sports']",Movie,1,[],Unknown,6.31,29,178
8524,The Kabocha Wine: Nita no Aijou Monogatari,"['Slice of Life', 'Comedy', 'Romance', 'School']",Movie,1,['Toei Animation'],Unknown,6.32,81,401
8525,Kami nomi zo Shiru Sekai,"['Comedy', 'Harem', 'Romance', 'Shounen', 'Supernatural']",TV,12,['Manglobe'],Manga,7.82,235647,429682
8526,Honey Tokyo,['Sci-Fi'],ONA,1,['Studio 4°C'],Unknown,5.81,801,1706
8532,"Katekyo Hitman Reborn! Vongola Family Soutoujou! Vongola Shiki Shuugakuryokou, Kuru!!","['Comedy', 'Shounen']",ONA,1,['Artland'],Manga,7.66,12415,24516
8533,Hana no Kage,"['Demons', 'Drama', 'Historical', 'Romance']",ONA,1,[],Original,6.1,397,1490
8536,Fortune Arterial: Akai Yakusoku,"['Comedy', 'Romance', 'School', 'Supernatural', 'Vampire']",TV,12,"['feel.', 'Zexcs']",Visual novel,6.79,50427,93353
8538,Gokujou!! Mecha Mote Iinchou Second Collection,"['Comedy', 'Romance', 'School', 'Shoujo']",TV,51,['SynergySP'],Manga,6.49,394,1877
8539,Toilet no Hanako-san,['Horror'],Movie,1,['Studio Pierrot'],Other,6.15,70,424
8542,Shin Ace wo Nerae!,"['Drama', 'Romance', 'School', 'Shoujo', 'Sports']",TV,25,['Tohokushinsha Film Corporation'],Manga,6.59,202,1283
8546,"Dr. Slump Movie 02: ""Hoyoyo!"" Uchuu Daibouken","['Comedy', 'Sci-Fi', 'Shounen']",Movie,1,['Toei Animation'],Manga,6.57,355,1055
8547,Dr. Slump Movie 05: Arale-chan Hoyoyo! Yume no Miyako Mechapolis,"['Comedy', 'Sci-Fi', 'Shounen']",Movie,1,['Toei Animation'],Manga,6.3,270,901
8548,Dr. Slump Movie 08: Arale-chan Hoyoyo!! Tasuketa Same ni Tsurerarete...,"['Comedy', 'Sci-Fi', 'Shounen']",Movie,1,['Toei Animation'],Manga,6.23,249,836
8550,Dr. Slump Movie 10: Arale no Bikkuriman,"['Comedy', 'Sci-Fi', 'Shounen']",Movie,1,['Toei Animation'],Manga,6.21,237,858
8551,Dr. Slump Movie 11: Dr. Mashirito & Abale-chan,"['Comedy', 'Sci-Fi', 'Shounen']",Movie,1,['Toei Animation'],Manga,6.01,317,946
8553,Time Bokan Series: Time Patroltai Otasukeman,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",TV,53,['Tatsunoko Production'],Unknown,6.37,176,644
8554,Hashire Melos (1981),"['Historical', 'Drama']",Special,1,['Toei Animation'],Novel,5.66,216,741
8557,Shinryaku! Ika Musume,"['Comedy', 'Shounen', 'Slice of Life']",TV,12,['Diomedea'],Manga,7.52,63683,138410
8560,"Kyou, Koi wo Hajimemasu","['Romance', 'School', 'Shoujo']",OVA,2,['J.C.Staff'],Manga,6.57,13353,26664
8561,Saint Elmo: Hikari no Raihousha,['Sci-Fi'],Special,1,['Toei Animation'],Original,6.17,51,292
